Sample_ID,Device,Concentration_mM,Scan_Rate_mVs,PC1_Score,PC2_Score,Device_Prediction_Score,Actual_Device_Code,OX_Voltage_V,OX_Current_A,RED_Voltage_V,RED_Current_A,Peak_Separation_V
99,Palmsens,1.0,100,1.2128909763873013,-0.5386154086772008,0.360021244224035,0,0.090370248,-30.823056,0.190448,29.53602,0.100077752
100,Palmsens,1.0,100,1.2546723991880921,-0.9521388684500177,0.3600291936660907,0,0.090370248,-30.766688,0.190448,29.526626,0.100077752
101,Palmsens,1.0,100,0.8666533097483489,-1.033702213162663,0.35883498575734163,0,0.090370248,-34.082912,0.190448,33.209234,0.100077752
102,Palmsens,1.0,100,1.1440256002997073,-0.45140570258167845,0.3588099184941367,0,0.090370248,-34.24262,0.190448,33.24681,0.100077752
103,Palmsens,1.0,100,1.4039326169377866,-1.237051672305943,0.3587804207145131,0,0.090370248,-34.317772,0.190448,33.340754,0.100077752
104,Palmsens,1.0,100,1.740080587319145,-1.1427674100689198,0.3587770892370068,0,0.090370248,-34.392932,0.190448,33.321968,0.100077752
105,Palmsens,1.0,100,1.2631082934974112,-0.9714119377034227,0.35874611432737125,0,0.090370248,-34.4399,0.190448,33.434702,0.100077752
106,Palmsens,1.0,100,1.2737001380340218,-1.1645612716258449,0.3587102624414654,0,0.090370248,-34.449296,0.190448,33.585012,0.100077752
107,Palmsens,1.0,100,1.2850908174368536,-0.5928780343837525,0.35874733419289717,0,0.090370248,-34.449296,0.190448,33.425304,0.100077752
108,Palmsens,1.0,100,1.5581841928313518,-0.8719470996130732,0.35873931493448613,0,0.090370248,-34.421112,0.190448,33.472278,0.100077752
109,Palmsens,1.0,100,1.161252500569471,-1.113253692449125,0.35874437952349997,0,0.090370248,-34.392932,0.190448,33.462884,0.100077752
110,Palmsens,1.0,100,1.165875474654451,-0.701728971023061,0.35874918720253,0,0.090370248,-34.345956,0.190448,33.462884,0.100077752
111,Palmsens,1.0,100,1.3758966961937977,-0.9054944931859635,0.36083054909182805,0,0.090370248,-28.220804,0.190448,27.196812,0.100077752
112,Palmsens,1.0,100,1.4438659246560643,-0.681934947469992,0.3608044505992738,0,0.090370248,-28.305354,0.190448,27.271968,0.100077752
113,Palmsens,1.0,100,1.3954157706608343,-1.025528833653113,0.3607848944398052,0,0.090370248,-28.389902,0.190448,27.31894,0.100077752
114,Palmsens,1.0,100,1.2756431500994347,-1.0253399180607126,0.36076289932795735,0,0.090370248,-28.455664,0.190448,27.384702,0.100077752
115,Palmsens,1.0,100,1.2565768994170279,-0.9532817519458002,0.36075591196782636,0,0.090370248,-28.502636,0.190448,27.394094,0.100077752
116,Palmsens,1.0,100,1.6034986870283756,-1.0314959134522255,0.3607433431684887,0,0.090370248,-28.540212,0.190448,27.431674,0.100077752
117,Palmsens,1.0,100,1.5469123360648893,-0.8066889384882233,0.36073705902837744,0,0.090370248,-28.559002,0.190448,27.450462,0.100077752
118,Palmsens,1.0,100,1.2502546655280145,-0.861045736223991,0.360741420137814,0,0.090370248,-28.559002,0.190448,27.431674,0.100077752
119,Palmsens,1.0,100,1.4887247817093017,-0.5596118084944433,0.3607402014603339,0,0.090370248,-28.549608,0.190448,27.441066,0.100077752
120,Palmsens,1.0,100,1.2811353477592677,-0.7306841184157195,0.3607399432673596,0,0.090370248,-28.53082,0.190448,27.450462,0.100077752
121,Palmsens,1.0,100,2.016410102093817,-0.7442417780535813,0.5880409201150295,0,0.080362472,-32.852246,0.170432,30.249996,0.090069528
122,Palmsens,1.0,100,1.8198462994555602,-1.0664673203761004,0.5879939072625578,0,0.080362472,-32.842854,0.170432,30.456672,0.090069528
123,Palmsens,1.0,100,1.759712880389248,-0.9861608881423547,0.5879689585596168,0,0.080362472,-32.852246,0.170432,30.560012,0.090069528
124,Palmsens,1.0,100,2.275416448795903,-0.8822155579902433,0.5879379835001656,0,0.080362472,-32.89922,0.170432,30.672744,0.090069528
125,Palmsens,1.0,100,2.8664521185595015,-0.9207453273277101,0.5879050853551687,0,0.080362472,-32.96498,0.170432,30.785478,0.090069528
126,Palmsens,1.0,100,1.866809161526032,-1.0060905770940025,0.5878724451984595,0,0.080362472,-33.04953,0.170432,30.888816,0.090069528
127,Palmsens,1.0,100,2.095597739600878,-1.1311795517170395,0.5878354439323138,0,0.080362472,-33.13408,0.170432,31.010942,0.090069528
128,Palmsens,1.0,100,1.8039856108308727,-1.0571423126303694,0.5878059459480036,0,0.080362472,-33.209234,0.170432,31.104886,0.090069528
129,Palmsens,1.0,100,2.364526347713942,-1.079565501840378,0.5877767054877371,0,0.080362472,-33.303178,0.170432,31.189436,0.090069528
130,Palmsens,1.0,100,1.5375527468262888,-0.855889591291101,0.5877534914388516,0,0.080362472,-33.359544,0.170432,31.264592,0.090069528
181,Palmsens,5.0,100,0.9699449733467341,-0.6391823249424703,0.22340282286880267,0,0.060346908,-128.703392,0.230479,122.954016,0.1701320919999999
182,Palmsens,5.0,100,1.1648751003391378,-0.35413155304177135,0.22337470148166488,0,0.060346908,-129.276464,0.230479,122.822496,0.1701320919999999
183,Palmsens,5.0,100,1.248912798841914,-0.7125851689697618,0.13133124049158512,0,0.060346908,-129.661624,0.240486,123.123112,0.180139092
184,Palmsens,5.0,100,0.9990356355947669,-0.5827218896024353,0.13125346067606947,0,0.060346908,-129.952848,0.240486,123.329792,0.180139092
185,Palmsens,5.0,100,0.6191317635721256,-0.5944529434552923,0.2232299760908603,0,0.060346908,-129.774352,0.230479,123.226464,0.1701320919999999
186,Palmsens,5.0,100,1.16538324169858,-0.5482037760775241,0.2233464431375396,0,0.060346908,-129.680424,0.230479,122.766128,0.1701320919999999
187,Palmsens,5.0,100,0.6437356037508406,-0.395307894148253,0.22332405034982258,0,0.060346908,-129.558288,0.230479,122.916448,0.1701320919999999
188,Palmsens,5.0,100,0.8630322195124205,-0.7322614973765921,0.13134847477126116,0,0.060346908,-129.407984,0.240486,123.160696,0.180139092
189,Palmsens,5.0,100,1.082569279784068,-0.6078817796971635,0.13131255579959406,0,0.060346908,-129.332824,0.240486,123.348576,0.180139092
190,Palmsens,5.0,100,0.7465683474179844,-0.23140882303122162,0.13130216698098868,0,0.060346908,-129.370392,0.240486,123.376768,0.180139092
191,Palmsens,5.0,100,1.4778037456988942,-0.3273149142899818,0.2688981330943998,0,0.03032357,-118.529256,0.240486,110.590976,0.21016243
192,Palmsens,5.0,100,1.0425895385847832,-0.14578511887700607,0.2688449958636887,0,0.03032357,-119.02716,0.240486,110.600368,0.21016243
193,Palmsens,5.0,100,1.330637467332314,-0.5528831147204261,0.26880672649242643,0,0.03032357,-119.337168,0.240486,110.628552,0.21016243
194,Palmsens,5.0,100,1.0714882305080842,-0.6495066512887993,0.2687690202041554,0,0.03032357,-119.449904,0.240486,110.741288,0.21016243
195,Palmsens,5.0,100,1.6973676398712039,-1.0024078755861552,0.26880311632348514,0,0.03032357,-119.074128,0.240486,110.76008,0.21016243
196,Palmsens,5.0,100,1.457080210938893,-0.5051608608086988,0.26890567731828574,0,0.03032357,-119.15868,0.240486,110.28096,0.21016243
197,Palmsens,5.0,100,0.979559194659956,-1.025045509713912,0.268928186290175,0,0.03032357,-119.130496,0.240486,110.196416,0.21016243
198,Palmsens,5.0,100,1.490450958542957,-0.4034870707044695,0.26898197953954534,0,0.03032357,-118.839272,0.240486,110.093072,0.21016243
199,Palmsens,5.0,100,1.1480110006510509,-0.6011475771142032,0.2690068592448776,0,0.03032357,-118.74532,0.240486,110.027312,0.21016243
200,Palmsens,5.0,100,0.9107723388858429,-0.7592517347358496,0.2689967283196153,0,0.03032357,-118.801688,0.240486,110.046104,0.21016243
201,Palmsens,5.0,100,0.5397649721428734,-0.2841357749252176,0.12889810361329274,0,0.060346908,-134.856,0.240486,131.31504,0.180139092
202,Palmsens,5.0,100,1.292398896674625,-0.5609864716044154,0.1288602190479201,0,0.060346908,-135.354,0.240486,131.25868,0.180139092
203,Palmsens,5.0,100,0.5787297649852039,-0.6345603962169635,0.12880121352890295,0,0.060346908,-135.824,0.240486,131.305656,0.180139092
204,Palmsens,5.0,100,0.9205271332816434,-0.2421931549568262,0.12873032519661332,0,0.060346908,-135.984,0.240486,131.540504,0.180139092
205,Palmsens,5.0,100,0.6929289438103255,-0.5470423875678092,0.17321546127015197,0,0.050339128,-136.275,0.240486,131.502936,0.190146872
206,Palmsens,5.0,100,0.7751804048657096,-0.5823671405033843,0.1288087149801368,0,0.060346908,-136.049,0.240486,131.174136,0.180139092
207,Palmsens,5.0,100,0.9398400384048861,-0.5049659462152665,0.12872303343598634,0,0.060346908,-136.247,0.240486,131.45596,0.180139092
