Time_s,Potential_V,Current_Total_uA,Current_Faradaic_uA,Current_Capacitive_uA,C_Ox_Surface_mM,C_Red_Surface_mM,Current_Density_mA_cm2
13.280000000000001,0.572,482.6064632936938,482.62646349730187,-0.019999999999999574,10.0,0.0,0.48262646349730187
13.290000000000001,0.571,483.81453891725147,483.8345391213691,-0.020000000000000993,10.0,0.0,0.48383453912136914
13.3,0.57,485.0256385082523,485.0456387128811,-0.020000000000000285,10.0,0.0,0.4850456387128811
13.31,0.569,486.23976963607294,486.25976984121377,-0.019999999999998862,10.0,0.0,0.4862597698412138
13.32,0.5680000000000001,487.4569398890365,487.4769400946908,-0.019999999999998862,10.0,0.0,0.4874769400946908
13.33,0.5670000000000001,488.67715687446133,488.69715708063046,-0.020000000000000993,10.0,0.0,0.4886971570806305
13.34,0.5660000000000001,489.90042821870725,489.9204284253925,-0.020000000000000993,10.0,0.0,0.4899204284253925
13.35,0.5650000000000001,491.12676156722443,491.1467617744271,-0.020000000000000285,10.0,0.0,0.4911467617744271
13.36,0.5640000000000001,492.3561645846003,492.37616479232156,-0.020000000000000285,10.0,0.0,0.4923761647923216
13.370000000000001,0.563,493.5886449546075,493.60864516284863,-0.019999999999999574,10.0,0.0,0.4936086451628487
13.38,0.5619999999999999,494.8242103802525,494.8442105890149,-0.020000000000000993,10.0,0.0,0.4948442105890149
13.39,0.5609999999999999,496.0628685838232,496.08286879310816,-0.019999999999998862,10.0,0.0,0.4960828687931081
13.4,0.56,497.3046273069373,497.32462751674615,-0.019999999999998862,10.0,0.0,0.49732462751674616
13.41,0.559,498.54949431059106,498.5694945209251,-0.020000000000000285,10.0,0.0,0.4985694945209251
13.42,0.558,499.79747737520717,499.81747758606764,-0.020000000000000993,10.0,0.0,0.49981747758606765
13.43,0.557,501.048584300684,501.0685845120724,-0.020000000000000993,10.0,0.0,0.5010685845120724
