# LabPlot2 Data File
# PLS Analysis: Palmsens (Reference) vs STM32 (Target)
# Generated: 2025-08-28T03:24:18.334469
# Method: Enhanced Detector V4 Improved
# Note: scan_01 files excluded (system not stable)
#
# Column descriptions:
# device: Device name (Palmsens/STM32)
# device_code: Numeric device code (0=Palmsens, 1=STM32)
# concentration: Ferrocyanide concentration (mM)
# scan_rate: CV scan rate (mV/s)
# ox_voltage: Oxidation peak voltage (V)
# ox_current: Oxidation peak current (µA)
# red_voltage: Reduction peak voltage (V)
# red_current: Reduction peak current (µA)
# peak_separation_voltage: |ox_voltage - red_voltage| (V)
# current_ratio: ox_current / red_current
# midpoint_potential: (ox_voltage + red_voltage) / 2 (V)
#
device,device_code,concentration,scan_rate,electrode,scan_number,filename,ox_voltage,ox_current,ox_confidence,red_voltage,red_current,red_confidence,peak_separation_voltage,peak_separation_current,current_ratio,midpoint_potential
Palmsens,0,0.5,200.0,E3,2,Palmsens_0.5mM_CV_200mVpS_E3_scan_02,0.18044,27.920182,75.19903878493102,0.090370248,-30.193628,100.0,0.09006975199999999,58.11381,-0.9247044442622132,0.135405124
Palmsens,0,0.5,200.0,E3,3,Palmsens_0.5mM_CV_200mVpS_E3_scan_03,0.18044,28.455664,75.31266053381866,0.090370248,-30.118474,100.0,0.09006975199999999,58.574138,-0.9447910275932306,0.135405124
Palmsens,0,0.5,200.0,E3,4,Palmsens_0.5mM_CV_200mVpS_E3_scan_04,0.18044,28.709314,75.65698785509935,0.090370248,-30.127868,100.0,0.09006975199999999,58.837182,-0.9529155531350575,0.135405124
Palmsens,0,0.5,200.0,E3,5,Palmsens_0.5mM_CV_200mVpS_E3_scan_05,0.18044,28.822046,75.65591641114212,0.090370248,-30.127868,100.0,0.09006975199999999,58.949914,-0.9566573379835573,0.135405124
Palmsens,0,0.5,200.0,E3,6,Palmsens_0.5mM_CV_200mVpS_E3_scan_06,0.18044,28.906596,75.69026268641659,0.090370248,-30.146656,100.0,0.09006975199999999,59.053252,-0.9588657528052199,0.135405124
Palmsens,0,0.5,200.0,E3,7,Palmsens_0.5mM_CV_200mVpS_E3_scan_07,0.18044,28.98175,75.1528588361752,0.090370248,-30.146656,100.0,0.09006975199999999,59.128406,-0.9613586992865809,0.135405124
Palmsens,0,0.5,200.0,E3,8,Palmsens_0.5mM_CV_200mVpS_E3_scan_08,0.18044,29.000538,75.256141791525,0.090370248,-30.156052,100.0,0.09006975199999999,59.156589999999994,-0.9616821857184753,0.135405124
Palmsens,0,0.5,200.0,E3,9,Palmsens_0.5mM_CV_200mVpS_E3_scan_09,0.18044,29.000538,75.69855364115942,0.090370248,-30.165446,100.0,0.09006975199999999,59.165983999999995,-0.9613827025796337,0.135405124
Palmsens,0,0.5,200.0,E3,10,Palmsens_0.5mM_CV_200mVpS_E3_scan_10,0.18044,29.028722,75.23487640119221,0.090370248,-30.184236,100.0,0.09006975199999999,59.212958,-0.9617179643042812,0.135405124
Palmsens,0,0.5,200.0,E3,11,Palmsens_0.5mM_CV_200mVpS_E3_scan_11,0.18044,29.0663,75.50955906293592,0.090370248,-30.221812,100.0,0.09006975199999999,59.288112,-0.9617656280834517,0.135405124
Palmsens,0,0.5,200.0,E4,2,Palmsens_0.5mM_CV_200mVpS_E4_scan_02,0.18044,22.56443,78.8846883323714,0.080362472,-24.019624,100.0,0.10007752799999999,46.584054,-0.9394164538129324,0.130401236
Palmsens,0,0.5,200.0,E4,3,Palmsens_0.5mM_CV_200mVpS_E4_scan_03,0.18044,22.856596,79.0502693479514,0.080362472,-23.978288,100.0,0.10007752799999999,46.834884,-0.9532205134912051,0.130401236
Palmsens,0,0.5,200.0,E4,4,Palmsens_0.5mM_CV_200mVpS_E4_scan_04,0.18044,22.989996,79.18665179626714,0.080362472,-23.950104,100.0,0.10007752799999999,46.9401,-0.9599121573751831,0.130401236
Palmsens,0,0.5,200.0,E4,5,Palmsens_0.5mM_CV_200mVpS_E4_scan_05,0.18044,23.078304,79.25141234892669,0.080362472,-23.951984,100.0,0.10007752799999999,47.030288,-0.9635236897285836,0.130401236
Palmsens,0,0.5,200.0,E4,6,Palmsens_0.5mM_CV_200mVpS_E4_scan_06,0.18044,23.145004,79.30270888540483,0.080362472,-23.94447,100.0,0.10007752799999999,47.089473999999996,-0.9666116644051842,0.130401236
Palmsens,0,0.5,200.0,E4,7,Palmsens_0.5mM_CV_200mVpS_E4_scan_07,0.18044,23.178824,79.30802482000246,0.080362472,-23.943528,100.0,0.10007752799999999,47.122352,-0.9680621836514651,0.130401236
Palmsens,0,0.5,200.0,E4,8,Palmsens_0.5mM_CV_200mVpS_E4_scan_08,0.18044,23.207008,79.33717012677893,0.080362472,-23.930378,100.0,0.10007752799999999,47.137386,-0.969771894117176,0.130401236
Palmsens,0,0.5,200.0,E4,9,Palmsens_0.5mM_CV_200mVpS_E4_scan_09,0.18044,23.217342,79.35238771419112,0.080362472,-23.936012,100.0,0.10007752799999999,47.153354,-0.9699753659882856,0.130401236
Palmsens,0,0.5,200.0,E4,10,Palmsens_0.5mM_CV_200mVpS_E4_scan_10,0.18044,23.23425,79.34956045524275,0.080362472,-23.946348,100.0,0.10007752799999999,47.180598,-0.9702627724277623,0.130401236
Palmsens,0,0.5,200.0,E4,11,Palmsens_0.5mM_CV_200mVpS_E4_scan_11,0.18044,23.264312,79.66660751037907,0.080362472,-23.968894,100.0,0.10007752799999999,47.233205999999996,-0.970604317412393,0.130401236
Palmsens,0,0.5,200.0,E5,2,Palmsens_0.5mM_CV_200mVpS_E5_scan_02,0.200455,26.332528,83.01581830997094,0.100378032,-24.437676,100.0,0.10007696799999999,50.770204,-1.077538142333993,0.150416516
Palmsens,0,0.5,200.0,E5,3,Palmsens_0.5mM_CV_200mVpS_E5_scan_03,0.200455,26.238584,83.10578685087742,0.100378032,-24.621806,100.0,0.10007696799999999,50.860389999999995,-1.0656644764401118,0.150416516
Palmsens,0,0.5,200.0,E5,4,Palmsens_0.5mM_CV_200mVpS_E5_scan_04,0.200455,26.219794,80.74899125472395,0.100378032,-24.744872,100.0,0.10007696799999999,50.964666,-1.0596051577878438,0.150416516
Palmsens,0,0.5,200.0,E5,5,Palmsens_0.5mM_CV_200mVpS_E5_scan_05,0.200455,26.2104,82.2897880215061,0.100378032,-24.801238,100.0,0.10007696799999999,51.011638000000005,-1.0568182120586076,0.150416516
Palmsens,0,0.5,200.0,E5,6,Palmsens_0.5mM_CV_200mVpS_E5_scan_06,0.200455,26.201006,81.14422887762417,0.100378032,-24.857606,100.0,0.10007696799999999,51.058612,-1.0540438206318017,0.150416516
Palmsens,0,0.5,200.0,E5,7,Palmsens_0.5mM_CV_200mVpS_E5_scan_07,0.200455,26.201006,81.25532273658222,0.100378032,-24.904578,100.0,0.10007696799999999,51.105584,-1.0520558107830615,0.150416516
Palmsens,0,0.5,200.0,E5,8,Palmsens_0.5mM_CV_200mVpS_E5_scan_08,0.200455,26.19161,82.2288360937578,0.100378032,-24.923366,100.0,0.10007696799999999,51.114976,-1.050885743121535,0.150416516
